time,logistic_discrete,gompertz_discrete
1.79,14.238444782465525,39.84923704823867
1.8,14.26651620541081,40.10607749673828
1.81,14.294642170852352,40.364058027251346
1.82,14.322822781604472,40.623180388902576
1.83,14.351058140662815,40.8834463158766
1.84,14.379348351204627,41.14485752735926
1.85,14.407693516589026,41.40741572747949
1.86,14.436093740357268,41.671122605251774
1.87,14.464549126233022,41.93597983451913
1.8800000000000001,14.493059778122637,42.20198907389672
1.8900000000000001,14.521625800115418,42.469151966716
1.9000000000000001,14.550247296483892,42.73747014096947
1.9100000000000001,14.578924371684082,43.00694520925599
1.92,14.60765713035578,43.27757876872668
1.93,14.636445677322815,43.5493724010314
1.94,14.66529011759333,43.822327672265835
1.95,14.69419055636005,44.096446132919134
1.96,14.723147099000558,44.37172931782215
1.97,14.752159851077561,44.6481787460963
1.98,14.781228918339172,44.92579592110296
1.99,14.810354406719178,45.2045823303935
2.0,14.83953642233731,45.48453944565989
2.0100000000000002,14.868775071499526,45.765668722685916
2.02,14.898070460698271,46.04797160129897
2.0300000000000002,14.927422696612764,46.33144950532245
2.04,14.956831886109264,46.61610384252881
2.05,14.986298136241343,46.9019360045931
2.06,15.01582155425017,47.188947367047206
2.07,15.045402247564772,47.477139289234685
2.08,15.07504032380232,47.76651311426613
2.09,15.104735890768396,48.05707016897524
2.1,15.134489056457273,48.348811763875396
2.11,15.164299929052188,48.641739193116976
2.12,15.194168616925616,48.935853734445125
2.13,15.224095228639548,49.23115664915826
2.14,15.254079872945766,49.52764918206712
2.15,15.284122658786117,49.825332561454466
2.16,15.314223695292792,50.124207999035335
2.17,15.344383091788599,50.42427668991799
2.18,15.37460095778724,50.72553981256543
2.19,15.404877402993593,51.027998528757514
2.2,15.435212537303977,51.331653983553736
2.21,15.465606470806442,51.63650730525658
2.22,15.496059313781036,51.942559605375514
2.23,15.526571176700084,52.2498119785916
2.24,15.557142170228474,52.55826550272271
2.25,15.587772405223921,52.867921238689384
2.2600000000000002,15.618461992737256,53.17878023048127
2.27,15.649211044012693,53.49084350512424
2.2800000000000002,15.680019670488118,53.80411207264807
2.29,15.710887983795361,54.11858692605476
2.3000000000000003,15.741816095760473,54.43426904128751
2.31,15.772804118404009,54.75115937720025
2.32,15.803852163941302,55.06925887552788
